,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-19 06:00:00+01:00,54374.9296875,54965.58203125,53838.03125,54855.10546875,0,0,0
2021-04-19 07:00:00+01:00,54619.40234375,55227.87109375,54128.76171875,54723.04296875,914368,0,0
2021-04-19 08:00:00+01:00,54601.71484375,54601.71484375,53889.70703125,53962.98046875,0,0,0
2021-04-19 09:00:00+01:00,53906.90625,54217.578125,53274.2421875,53841.1875,0,0,0
2021-04-19 10:00:00+01:00,53648.58203125,54695.2265625,53145.359375,53761.0625,0,0,0
2021-04-19 11:00:00+01:00,53599.51953125,53599.51953125,51231.66796875,51938.0625,0,0,0
2021-04-19 12:00:00+01:00,52098.23046875,53677.0625,52014.859375,53511.7578125,9663168,0,0
2021-04-19 13:00:00+01:00,53297.72265625,53509.29296875,52350.55859375,52405.625,0,0,0
2021-04-19 14:00:00+01:00,52358.25,52507.88671875,51402.60546875,51961.91015625,5629824,0,0
2021-04-19 15:00:00+01:00,51846.51953125,51846.51953125,48749.48828125,49070.16015625,0,0,0
2021-04-19 16:00:00+01:00,49128.5703125,49538.796875,47564.4609375,47808.9609375,20814208,0,0
2021-04-19 17:00:00+01:00,47977.8671875,49866.8125,46509.375,46509.375,10174848,0,0
2021-04-19 18:00:00+01:00,46350.1171875,48076.71484375,45886.45703125,48076.71484375,32050880,0,0
2021-04-19 19:00:00+01:00,48146.77734375,48441.8359375,47835.65625,48041.95703125,3222464,0,0
2021-04-19 20:00:00+01:00,48069.265625,49120.24609375,48002.83203125,48928.6875,17798912,0,0
2021-04-19 21:00:00+01:00,48812.8515625,49266.2890625,48485.734375,48843.23046875,0,0,0
2021-04-19 22:00:00+01:00,48843.27734375,49453.07421875,48114.078125,49278.03125,1616064,0,0
2021-04-19 23:00:00+01:00,49301.21875,49301.21875,48326.96875,48710.015625,0,0,0
2021-04-20 00:00:00+01:00,48448.875,48448.875,46822.3515625,47000.55078125,0,0,0
2021-04-20 01:00:00+01:00,46775.41796875,46933.00390625,43527.43359375,44313.53515625,0,0,0
2021-04-20 02:00:00+01:00,44525.08203125,46035.68359375,44525.08203125,44904.52734375,0,0,0
2021-04-20 03:00:00+01:00,44870.265625,44895.96875,44248.2109375,44655.8515625,0,0,0
2021-04-20 04:00:00+01:00,44682.328125,45011.0078125,44451.73828125,44931.6953125,0,0,0
2021-04-20 05:00:00+01:00,44929.31640625,46268.203125,44896.60546875,46054.0390625,128691072,0,0
2021-04-20 06:00:00+01:00,46107.8671875,46237.2109375,45053.80859375,45444.7421875,0,0,0
2021-04-20 07:00:00+01:00,45479.81640625,45942.66796875,43831.08984375,43831.08984375,0,0,0
2021-04-20 08:00:00+01:00,43955.92578125,44549.90234375,43365.47265625,44408.35546875,14649856,0,0
2021-04-20 09:00:00+01:00,44390.859375,46389.9453125,44262.4140625,46235.80078125,30362752,0,0
2021-04-20 10:00:00+01:00,46250.08203125,46786.203125,45897.74609375,46192.64453125,0,0,0
2021-04-20 11:00:00+01:00,46238.12890625,47776.38671875,46238.12890625,47624.1875,2559808,0,0
2021-04-20 12:00:00+01:00,47667.1796875,49126.65625,47463.11328125,48759.76171875,21916672,0,0
2021-04-20 13:00:00+01:00,48811.76171875,49641.28515625,48101.72265625,49278.22265625,29289920,0,0
2021-04-20 14:00:00+01:00,49378.90625,51113.71484375,49220.47265625,51113.71484375,40967232,0,0
2021-04-20 15:00:00+01:00,50876.2109375,50876.2109375,48424.00390625,49029.87109375,0,0,0
2021-04-20 16:00:00+01:00,48791.9140625,49256.87109375,47445.546875,48558.28125,0,0,0
2021-04-20 17:00:00+01:00,48886.29296875,49563.0390625,48132.03515625,49563.0390625,0,0,0
2021-04-20 18:00:00+01:00,49363.74609375,49541.796875,48904.69921875,49541.796875,0,0,0
2021-04-20 19:00:00+01:00,49404.296875,50131.0859375,49042.46875,49627.70703125,0,0,0
2021-04-20 20:00:00+01:00,49565.046875,50211.3515625,49332.4921875,50211.3515625,3753216,0,0
2021-04-20 21:00:00+01:00,50265.5390625,50266.484375,49201.88671875,49286.859375,0,0,0
2021-04-20 22:00:00+01:00,49161.74609375,49514.58984375,48615.1171875,49445.9296875,2990848,0,0
2021-04-20 23:00:00+01:00,49496.71484375,50187.53125,48741.44921875,48977.66015625,0,0,0
2021-04-21 00:00:00+01:00,49115.86328125,49231.828125,48524.20703125,48945.75390625,0,0,0
2021-04-21 01:00:00+01:00,48895.75,49852.8828125,47932.87890625,47932.87890625,0,0,0
2021-04-21 02:00:00+01:00,47992.7890625,49188.8515625,47807.8046875,49099.92578125,0,0,0
2021-04-21 03:00:00+01:00,48952.5,50094.63671875,48933.81640625,50094.63671875,810688,0,0
